Year,Locationabbr,Locationdesc,Class,Topic,Question,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,Data_value_type,Data_Value_Footnote_Symbol,Data_Value_Footnote,DataSource,ClassId,TopicId,LocationID,BreakoutID,BreakOutCategoryID,QuestionID,ResponseID,GeoLocation
2012,AL,Alabama,Oral Health,All Teeth Removed,Adults aged 65+ who have had all their natural teeth extracted (variable calculated from one or more BRFSS questions),No,"Less than $15,000",Household Income,243,60.8,54.6,67,1037,%,Crude Prevalence,,,BRFSS,CLASS13,Topic04,01,INCOME1,CAT6,_ALTETH2,RESP054,"(32.840571122, -86.631860762)"
2012,AL,Alabama,Oral Health,All Teeth Removed,Adults aged 65+ who have had all their natural teeth extracted (variable calculated from one or more BRFSS questions),Yes,"$15,000-$24,999",Household Income,189,31.7,26.5,36.8,1033,%,Crude Prevalence,,,BRFSS,CLASS13,Topic04,01,INCOME2,CAT6,_ALTETH2,RESP046,"(32.840571122, -86.631860762)"
2012,AL,Alabama,Oral Health,All Teeth Removed,Adults aged 65+ who have had all their natural teeth extracted (variable calculated from one or more BRFSS questions),No,"$15,000-$24,999",Household Income,440,68.4,63.2,73.5,1038,%,Crude Prevalence,,,BRFSS,CLASS13,Topic04,01,INCOME2,CAT6,_ALTETH2,RESP054,"(32.840571122, -86.631860762)"
2012,AL,Alabama,Oral Health,All Teeth Removed,Adults aged 65+ who have had all their natural teeth extracted (variable calculated from one or more BRFSS questions),Yes,"$25,000-$34,999",Household Income,68,19.3,13.8,24.9,1034,%,Crude Prevalence,,,BRFSS,CLASS13,Topic04,01,INCOME3,CAT6,_ALTETH2,RESP046,"(32.840571122, -86.631860762)"
2012,AL,Alabama,Oral Health,All Teeth Removed,Adults aged 65+ who have had all their natural teeth extracted (variable calculated from one or more BRFSS questions),No,"$25,000-$34,999",Household Income,312,80.7,75.2,86.2,1039,%,Crude Prevalence,,,BRFSS,CLASS13,Topic04,01,INCOME3,CAT6,_ALTETH2,RESP054,"(32.840571122, -86.631860762)"
2012,AL,Alabama,Oral Health,All Teeth Removed,Adults aged 65+ who have had all their natural teeth extracted (variable calculated from one or more BRFSS questions),Yes,"$35,000-$49,999",Household Income,42,15.7,10,21.3,1035,%,Crude Prevalence,,,BRFSS,CLASS13,Topic04,01,INCOME4,CAT6,_ALTETH2,RESP046,"(32.840571122, -86.631860762)"
2012,AL,Alabama,Oral Health,All Teeth Removed,Adults aged 65+ who have had all their natural teeth extracted (variable calculated from one or more BRFSS questions),No,"$35,000-$49,999",Household Income,291,84.3,78.7,90,1040,%,Crude Prevalence,,,BRFSS,CLASS13,Topic04,01,INCOME4,CAT6,_ALTETH2,RESP054,"(32.840571122, -86.631860762)"
2012,AL,Alabama,Oral Health,All Teeth Removed,Adults aged 65+ who have had all their natural teeth extracted (variable calculated from one or more BRFSS questions),Yes,"$50,000+",Household Income,29,7.1,3.7,10.5,1036,%,Crude Prevalence,,,BRFSS,CLASS13,Topic04,01,INCOME5,CAT6,_ALTETH2,RESP046,"(32.840571122, -86.631860762)"
2012,AL,Alabama,Oral Health,All Teeth Removed,Adults aged 65+ who have had all their natural teeth extracted (variable calculated from one or more BRFSS questions),No,"$50,000+",Household Income,479,92.9,89.5,96.3,1041,%,Crude Prevalence,,,BRFSS,CLASS13,Topic04,01,INCOME5,CAT6,_ALTETH2,RESP054,"(32.840571122, -86.631860762)"
2012,AL,Alabama,Oral Health,All Teeth Removed,Adults aged 65+ who have had all their natural teeth extracted (variable calculated from one or more BRFSS questions),Yes,"White, non-Hispanic",Race/Ethnicity,500,21,18.8,23.2,1014,%,Crude Prevalence,,,BRFSS,CLASS13,Topic04,01,RACE1,CAT4,_ALTETH2,RESP046,"(32.840571122, -86.631860762)"
2012,AL,Alabama,Oral Health,All Teeth Removed,Adults aged 65+ who have had all their natural teeth extracted (variable calculated from one or more BRFSS questions),No,"White, non-Hispanic",Race/Ethnicity,1872,79,76.8,81.2,1019,%,Crude Prevalence,,,BRFSS,CLASS13,Topic04,01,RACE1,CAT4,_ALTETH2,RESP054,"(32.840571122, -86.631860762)"
2012,AL,Alabama,Oral Health,All Teeth Removed,Adults aged 65+ who have had all their natural teeth extracted (variable calculated from one or more BRFSS questions),Yes,"Black, non-Hispanic",Race/Ethnicity,165,33.9,28.1,39.8,1015,%,Crude Prevalence,,,BRFSS,CLASS13,Topic04,01,RACE2,CAT4,_ALTETH2,RESP046,"(32.840571122, -86.631860762)"
2012,AL,Alabama,Oral Health,All Teeth Removed,Adults aged 65+ who have had all their natural teeth extracted (variable calculated from one or more BRFSS questions),No,"Black, non-Hispanic",Race/Ethnicity,346,66.1,60.2,71.9,1020,%,Crude Prevalence,,,BRFSS,CLASS13,Topic04,01,RACE2,CAT4,_ALTETH2,RESP054,"(32.840571122, -86.631860762)"
2012,AL,Alabama,Oral Health,All Teeth Removed,Adults aged 65+ who have had all their natural teeth extracted (variable calculated from one or more BRFSS questions),Yes,Hispanic,Race/Ethnicity,9,,,,1016,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS13,Topic04,01,RACE3,CAT4,_ALTETH2,RESP046,"(32.840571122, -86.631860762)"
2012,AL,Alabama,Oral Health,All Teeth Removed,Adults aged 65+ who have had all their natural teeth extracted (variable calculated from one or more BRFSS questions),No,Hispanic,Race/Ethnicity,24,,,,1021,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS13,Topic04,01,RACE3,CAT4,_ALTETH2,RESP054,"(32.840571122, -86.631860762)"
